code,type,county
1002,T,ADAMS
1004,T,ADAMS
1006,T,ADAMS
1008,T,ADAMS
1010,T,ADAMS
1012,T,ADAMS
1014,T,ADAMS
1016,T,ADAMS
1018,T,ADAMS
1020,T,ADAMS
1022,T,ADAMS
1024,T,ADAMS
1026,T,ADAMS
1028,T,ADAMS
1030,T,ADAMS
1032,T,ADAMS
1034,T,ADAMS
1126,V,ADAMS
1201,C,ADAMS
1999,Y,ADAMS
2002,T,ASHLAND
2004,T,ASHLAND
2006,T,ASHLAND
2008,T,ASHLAND
2010,T,ASHLAND
2012,T,ASHLAND
2014,T,ASHLAND
2016,T,ASHLAND
2018,T,ASHLAND
2020,T,ASHLAND
2022,T,ASHLAND
2024,T,ASHLAND
2026,T,ASHLAND
2106,V,ASHLAND
2201,C,ASHLAND
2251,C,ASHLAND
2999,Y,ASHLAND
3002,T,BARRON
3004,T,BARRON
3006,T,BARRON
3008,T,BARRON
3010,T,BARRON
3012,T,BARRON
3014,T,BARRON
3016,T,BARRON
3018,T,BARRON
3020,T,BARRON
3022,T,BARRON
3024,T,BARRON
3026,T,BARRON
3028,T,BARRON
3030,T,BARRON
3032,T,BARRON
3034,T,BARRON
3036,T,BARRON
3038,T,BARRON
3040,T,BARRON
3042,T,BARRON
3044,T,BARRON
3046,T,BARRON
3048,T,BARRON
3050,T,BARRON
3101,V,BARRON
3111,V,BARRON
3116,V,BARRON
3136,V,BARRON
3171,V,BARRON
3186,V,BARRON
3206,C,BARRON
3211,C,BARRON
3212,C,BARRON
3276,C,BARRON
3999,Y,BARRON
4002,T,BAYFIELD
4004,T,BAYFIELD
4006,T,BAYFIELD
4008,T,BAYFIELD
4010,T,BAYFIELD
4012,T,BAYFIELD
4014,T,BAYFIELD
4016,T,BAYFIELD
4018,T,BAYFIELD
4020,T,BAYFIELD
4021,T,BAYFIELD
4022,T,BAYFIELD
4024,T,BAYFIELD
4026,T,BAYFIELD
4028,T,BAYFIELD
4030,T,BAYFIELD
4032,T,BAYFIELD
4034,T,BAYFIELD
4036,T,BAYFIELD
4038,T,BAYFIELD
4040,T,BAYFIELD
4042,T,BAYFIELD
4046,T,BAYFIELD
4048,T,BAYFIELD
4050,T,BAYFIELD
4151,V,BAYFIELD
4206,C,BAYFIELD
4291,C,BAYFIELD
4999,Y,BAYFIELD
5010,T,BROWN
5012,T,BROWN
5014,T,BROWN
5018,T,BROWN
5022,T,BROWN
5024,T,BROWN
5025,T,BROWN
5026,T,BROWN
5028,T,BROWN
5030,T,BROWN
5034,T,BROWN
5036,T,BROWN
5040,T,BROWN
5102,V,BROWN
5104,V,BROWN
5106,V,BROWN
5116,V,BROWN
5126,V,BROWN
5136,V,BROWN
5171,V,BROWN
5178,V,BROWN
5191,V,BROWN
5216,C,BROWN
5231,C,BROWN
5999,Y,BROWN
6002,T,BUFFALO
6004,T,BUFFALO
6006,T,BUFFALO
6008,T,BUFFALO
6010,T,BUFFALO
6012,T,BUFFALO
6014,T,BUFFALO
6016,T,BUFFALO
6018,T,BUFFALO
6020,T,BUFFALO
6022,T,BUFFALO
6024,T,BUFFALO
6026,T,BUFFALO
6028,T,BUFFALO
6030,T,BUFFALO
6032,T,BUFFALO
6034,T,BUFFALO
6111,V,BUFFALO
6154,V,BUFFALO
6201,C,BUFFALO
6206,C,BUFFALO
6226,C,BUFFALO
6251,C,BUFFALO
6999,Y,BUFFALO
7002,T,BURNETT
7004,T,BURNETT
7006,T,BURNETT
7008,T,BURNETT
7010,T,BURNETT
7012,T,BURNETT
7014,T,BURNETT
7016,T,BURNETT
7018,T,BURNETT
7020,T,BURNETT
7022,T,BURNETT
7024,T,BURNETT
7026,T,BURNETT
7028,T,BURNETT
7030,T,BURNETT
7032,T,BURNETT
7034,T,BURNETT
7036,T,BURNETT
7038,T,BURNETT
7040,T,BURNETT
7042,T,BURNETT
7131,V,BURNETT
7181,V,BURNETT
7191,V,BURNETT
7999,Y,BURNETT
8002,T,CALUMET
8004,T,CALUMET
8006,T,CALUMET
8008,T,CALUMET
8012,T,CALUMET
8014,T,CALUMET
8016,T,CALUMET
8018,T,CALUMET
8131,V,CALUMET
8136,V,CALUMET
8160,V,CALUMET
8179,V,CALUMET
8181,V,CALUMET
8206,C,CALUMET
8211,C,CALUMET
8261,C,CALUMET
8999,Y,CALUMET
9002,T,CHIPPEWA
9004,T,CHIPPEWA
9006,T,CHIPPEWA
9008,T,CHIPPEWA
9010,T,CHIPPEWA
9012,T,CHIPPEWA
9014,T,CHIPPEWA
9016,T,CHIPPEWA
9018,T,CHIPPEWA
9020,T,CHIPPEWA
9022,T,CHIPPEWA
9024,T,CHIPPEWA
9026,T,CHIPPEWA
9028,T,CHIPPEWA
9032,T,CHIPPEWA
9034,T,CHIPPEWA
9035,T,CHIPPEWA
9036,T,CHIPPEWA
9038,T,CHIPPEWA
9040,T,CHIPPEWA
9042,T,CHIPPEWA
9044,T,CHIPPEWA
9046,T,CHIPPEWA
9106,V,CHIPPEWA
9111,V,CHIPPEWA
9128,V,CHIPPEWA
9161,V,CHIPPEWA
9206,C,CHIPPEWA
9211,C,CHIPPEWA
9213,C,CHIPPEWA
9281,C,CHIPPEWA
9999,Y,CHIPPEWA
10002,T,CLARK
10004,T,CLARK
10006,T,CLARK
10008,T,CLARK
10010,T,CLARK
10012,T,CLARK
10014,T,CLARK
10016,T,CLARK
10018,T,CLARK
10020,T,CLARK
10022,T,CLARK
10024,T,CLARK
10026,T,CLARK
10028,T,CLARK
10030,T,CLARK
10032,T,CLARK
10034,T,CLARK
10036,T,CLARK
10038,T,CLARK
10040,T,CLARK
10042,T,CLARK
10044,T,CLARK
10046,T,CLARK
10048,T,CLARK
10050,T,CLARK
10052,T,CLARK
10054,T,CLARK
10056,T,CLARK
10058,T,CLARK
10060,T,CLARK
10062,T,CLARK
10064,T,CLARK
10066,T,CLARK
10111,V,CLARK
10116,V,CLARK
10131,V,CLARK
10191,V,CLARK
10201,C,CLARK
10211,C,CLARK
10231,C,CLARK
10246,C,CLARK
10261,C,CLARK
10265,C,CLARK
10286,C,CLARK
10999,Y,CLARK
11002,T,COLUMBIA
11004,T,COLUMBIA
11006,T,COLUMBIA
11008,T,COLUMBIA
11010,T,COLUMBIA
11012,T,COLUMBIA
11014,T,COLUMBIA
11016,T,COLUMBIA
11018,T,COLUMBIA
11020,T,COLUMBIA
11022,T,COLUMBIA
11024,T,COLUMBIA
11026,T,COLUMBIA
11028,T,COLUMBIA
11030,T,COLUMBIA
11032,T,COLUMBIA
11034,T,COLUMBIA
11036,T,COLUMBIA
11038,T,COLUMBIA
11040,T,COLUMBIA
11042,T,COLUMBIA
11101,V,COLUMBIA
11111,V,COLUMBIA
11116,V,COLUMBIA
11126,V,COLUMBIA
11127,V,COLUMBIA
11171,V,COLUMBIA
11172,V,COLUMBIA
11177,V,COLUMBIA
11191,V,COLUMBIA
11211,C,COLUMBIA
11246,C,COLUMBIA
11271,C,COLUMBIA
11291,C,COLUMBIA
11999,Y,COLUMBIA
12002,T,CRAWFORD
12004,T,CRAWFORD
12006,T,CRAWFORD
12008,T,CRAWFORD
12010,T,CRAWFORD
12012,T,CRAWFORD
12014,T,CRAWFORD
12016,T,CRAWFORD
12018,T,CRAWFORD
12020,T,CRAWFORD
12022,T,CRAWFORD
12106,V,CRAWFORD
12121,V,CRAWFORD
12126,V,CRAWFORD
12131,V,CRAWFORD
12146,V,CRAWFORD
12151,V,CRAWFORD
12181,V,CRAWFORD
12182,V,CRAWFORD
12191,V,CRAWFORD
12271,C,CRAWFORD
12999,Y,CRAWFORD
